Community_ID,Community,Community_Type,Population,Latitude,Longitude,NTG_Region,Health centre,Police station,School,Regional council service centre,Community store,Internet,Mobile phone,WiFi,Accessible by road,Aerodrome
178,Wanmarra,Family Outstation,12,-24.38841,131.80347,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5
180,Warumpi,Family Outstation,16,-23.1851,131.97514,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
877,Wataru,Family Outstation,10,-24.85858,129.05936,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
952,Wiitin,Family Outstation,0,-19.54493,134.23657,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
432,Wilgi,Family Outstation,9,-11.49601,132.74947,TOP END,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
275,Wollogorang,Family Outstation,2,-17.21828,137.98884,BIG RIVERS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
707,Wunara,Family Outstation,0,-19.9898,136.6181,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5
817,Wurlbu,Family Outstation,5,-16.07464,136.28415,BIG RIVERS,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
569,Yanungbi,Family Outstation,15,-12.27975,136.65787,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
939,Yartalu Yartalu,Family Outstation,0,-20.57253,130.35528,CENTRAL AUSTRALIA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
