Community_ID,Community,exit_number,road_name,fclass,osm_id,graph_node_x,graph_node_y,component_id_after_cut,component_size_after_cut,largest_outside_component_size,exit_status
362,Maningrida,5,,track,213563087,246015.24,-1272512.06,59,52,710684,LOCAL_OR_DEAD_END
362,Maningrida,6,,residential,449880188,247718.84,-1272412.01,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,7,,residential,213563109,247657.05,-1272512.05,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,8,,residential,213563066,245941.12,-1272385.93,59,52,710684,LOCAL_OR_DEAD_END
362,Maningrida,9,,residential,213563063,247700.27,-1272443.33,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,10,,residential,1266055744,247834.79,-1271969.86,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,11,,track,1266055750,247835.42,-1271927.51,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,12,,track,1274749461,247823.37,-1271790.56,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,13,,track,1266055751,247233.31,-1271025.21,153,5,710684,LOCAL_OR_DEAD_END
362,Maningrida,14,,track,1266055751,247267.13,-1271041.21,153,5,710684,LOCAL_OR_DEAD_END
362,Maningrida,15,,track,1266055748,247313.14,-1271063.68,0,710684,710684,EXTERNAL_EXIT
362,Maningrida,16,,track,213563106,247278.11,-1271046.4,0,710684,710684,EXTERNAL_EXIT
363,Manmoyi,1,,unclassified,355352500,234080.71,-1325592.55,0,710903,710903,EXTERNAL_EXIT
363,Manmoyi,2,,unclassified,355352500,232476.89,-1325407.82,15,329,710903,LOCAL_OR_DEAD_END
595,Manyallaluk,1,,track,478476929,91324.38,-1511731.5,159,4,710217,LOCAL_OR_DEAD_END
595,Manyallaluk,2,,unclassified,203879214,90719.98,-1512443.14,0,710217,710217,EXTERNAL_EXIT
595,Manyallaluk,3,,track,449638359,90371.44,-1510516.21,10,765,710217,LOCAL_OR_DEAD_END
595,Manyallaluk,4,,track,475485701,91330.56,-1511704.51,159,4,710217,LOCAL_OR_DEAD_END
524,Mapuru,1,,track_grade3,453738208,381962.37,-1297140.71,32,125,710955,LOCAL_OR_DEAD_END
524,Mapuru,2,,unclassified,447694295,381952.35,-1296586.44,0,710955,710955,EXTERNAL_EXIT
524,Mapuru,3,,track_grade4,453709251,380623.25,-1295955.45,35,111,710955,LOCAL_OR_DEAD_END
252,Marlinja,1,,track,94231357,149332.92,-1854459.5,6,1717,709023,LOCAL_OR_DEAD_END
252,Marlinja,2,,track,94231357,149921.43,-1854280.66,84,27,709023,LOCAL_OR_DEAD_END
252,Marlinja,3,,unclassified,33723700,150143.86,-1854067.69,152,5,709023,LOCAL_OR_DEAD_END
252,Marlinja,4,,unclassified,33723700,150117.44,-1854101.77,152,5,709023,LOCAL_OR_DEAD_END
252,Marlinja,5,,unclassified,33723700,149977.29,-1854239.22,84,27,709023,LOCAL_OR_DEAD_END
252,Marlinja,6,Newcastle Waters Road,unclassified,453730269,150334.67,-1853634.43,0,709023,709023,EXTERNAL_EXIT
252,Marlinja,7,,unclassified,777690116,148803.82,-1852623.74,18,290,709023,LOCAL_OR_DEAD_END
624,Minyerri,1,Hodgson River Road,unclassified,224736956,225547.09,-1616735.01,0,711192,711192,EXTERNAL_EXIT
