Community_ID,Community,exit_number,osm_id,road_name,fclass,graph_node_x,graph_node_y,status
397,Nauiyu,6,777675655,,track,-142967.87,-1454823.92,NEW NODE
397,Nauiyu,7,98871796,Twin Peaks Road,unclassified,-144522.77,-1456034.67,NEW NODE
542,Ngangalala,1,447678284,,unclassified,330550.92,-1300276.43,NEW NODE
542,Ngangalala,2,776250757,,track_grade3,331080.01,-1299643.97,NEW NODE
404,Nganmarriyanga,1,777663982,,service,-230754.54,-1523242.79,NEW NODE
404,Nganmarriyanga,2,777663981,,service,-230620.31,-1523138.76,NEW NODE
404,Nganmarriyanga,3,323254511,Palumpa Access Road,unclassified,-230600.89,-1523121.17,NEW NODE
404,Nganmarriyanga,4,320164572,Airstrip Road,unclassified,-232244.18,-1522090.43,NEW NODE
404,Nganmarriyanga,5,777673205,,track_grade3,-232157.8,-1521899.03,NEW NODE
404,Nganmarriyanga,6,777646912,,track_grade2,-230936.9,-1521469.53,NEW NODE
404,Nganmarriyanga,7,777646907,,track_grade3,-231300.56,-1521402.5,NEW NODE
404,Nganmarriyanga,8,777673202,,track_grade3,-231903.28,-1521609.89,NEW NODE
404,Nganmarriyanga,9,467427001,Port Keats Road,secondary,-232201.64,-1522821.22,NEW NODE
404,Nganmarriyanga,10,467427001,Port Keats Road,secondary,-230855.87,-1523299.43,NEW NODE
633,Ngukurr,1,445293778,,track,296187,-1565892.64,NEW NODE
633,Ngukurr,2,295004955,,track,297991.36,-1565570.09,NEW NODE
633,Ngukurr,3,295004950,,unclassified,297973.3,-1565638.3,NEW NODE
633,Ngukurr,4,295004950,,unclassified,297982.31,-1565071.71,NEW NODE
633,Ngukurr,5,445293775,,track,296093.75,-1564961.79,NEW NODE
633,Ngukurr,6,914040365,,primary,297500.01,-1564462.44,NEW NODE
633,Ngukurr,7,445293771,,track,297269.86,-1564371.99,NEW NODE
633,Ngukurr,8,29221574,Nulawan Access Road,unclassified,297577.03,-1566169.05,NEW NODE
639,Nitjpurru,1,778188675,,track_grade2,-83079.79,-1792358.92,NEW NODE
639,Nitjpurru,2,368610503,,residential,-83470.84,-1790406.77,NEW NODE
639,Nitjpurru,3,778186578,,track_grade3,-84238.99,-1791886.99,NEW NODE
127,Nturiya,1,456568749,,track,128812.37,-2382194.09,NEW NODE
127,Nturiya,2,321690643,,unclassified,128623.64,-2380876.45,NEW NODE
127,Nturiya,3,215104253,Nturiya Road,unclassified,130163.37,-2382137.08,NEW NODE
549,Numbulwar,1,301175590,,unclassified,407107.6,-1518356.98,NEW NODE
549,Numbulwar,2,456580828,,unclassified,407326.57,-1517923.11,NEW NODE
549,Numbulwar,3,301175594,,unclassified,408439.65,-1517643.73,NEW NODE
549,Numbulwar,4,948034278,Numbulwar Road,primary,407149.11,-1518933.51,NEW NODE
128,Nyirripi,1,94066175,,unclassified,-146363.92,-2440532.66,NEW NODE
128,Nyirripi,2,590569084,,unclassified,-147442.33,-2441455.51,NEW NODE
128,Nyirripi,3,399077089,,track,-147402.62,-2441457.46,NEW NODE
128,Nyirripi,4,909227666,,unclassified,-147334.36,-2441458.27,NEW NODE
128,Nyirripi,5,399077092,,track,-148185.26,-2441023.93,NEW NODE
128,Nyirripi,6,591037306,,track,-148323.45,-2440725.16,NEW NODE
128,Nyirripi,7,94069939,,unclassified,-148325.64,-2440202.68,NEW NODE
128,Nyirripi,8,399077117,,track,-146471.14,-2440003.52,NEW NODE
128,Nyirripi,9,103324072,,unclassified,-146461.06,-2440024.82,NEW NODE
128,Nyirripi,10,590569046,,unclassified,-148124.91,-2439815.84,NEW NODE
128,Nyirripi,11,399077101,,track,-146599.03,-2439812.23,NEW NODE
128,Nyirripi,12,399077104,,track,-147363.15,-2439459.68,NEW NODE
128,Nyirripi,13,591037333,,track,-146915.99,-2439564.82,NEW NODE
128,Nyirripi,14,94092108,Emu Bore Road,unclassified,-148323.43,-2440193.86,NEW NODE
26,Orrtipa-Thurra,1,193289870,Bonya Road,unclassified,423971.53,-2462526.31,NEW NODE
26,Orrtipa-Thurra,2,193289902,,residential,423035.22,-2461802.18,NEW NODE
26,Orrtipa-Thurra,3,193289902,,residential,422998.04,-2461567.68,NEW NODE
26,Orrtipa-Thurra,4,193289902,,residential,423612.57,-2462451.01,NEW NODE
26,Orrtipa-Thurra,5,193289905,,track,423569.77,-2460624.27,NEW NODE
131,Papunya,1,189318493,Gary Junction Road,tertiary,-9996.75,-2501233.43,NEW NODE
131,Papunya,2,143126491,,unclassified,-8437.71,-2502218.8,NEW NODE
131,Papunya,3,189318540,,track,-8729.82,-2502360.14,NEW NODE
131,Papunya,4,189318540,,track,-9104.45,-2502396.6,NEW NODE
131,Papunya,5,189318547,,track,-9761.36,-2502061.53,NEW NODE
131,Papunya,6,189318556,,track,-9517.71,-2502262.44,NEW NODE
131,Papunya,7,189318549,,track,-8020.11,-2501521.99,NEW NODE
131,Papunya,8,143126493,,unclassified,-9310.24,-2502355.2,NEW NODE
131,Papunya,9,777916311,,track_grade3,-8668.44,-2502339.06,NEW NODE
131,Papunya,10,189318492,Gary Junction Road,tertiary,-8389.76,-2502183.24,NEW NODE
131,Papunya,11,189318505,Warumpi Road,unclassified,-8019.37,-2501285.26,NEW NODE
131,Papunya,12,1382226626,,track,-8601.13,-2500490.55,NEW NODE
131,Papunya,13,143120730,Mount Wedge Road,unclassified,-8268.7,-2500733.86,NEW NODE
131,Papunya,14,189318553,,track,-8074.11,-2501744.94,NEW NODE
131,Papunya,15,777916668,,track_grade3,-9877.1,-2501900.44,NEW NODE
131,Papunya,16,189318558,,track,-8112.6,-2501835.79,NEW NODE
131,Papunya,17,777917158,,track_grade2,-10010.94,-2501381.47,NEW NODE
131,Papunya,18,376676244,,service,-8104.98,-2500982.6,NEW NODE
131,Papunya,19,1382226630,,track,-8876.63,-2500411.48,NEW NODE
